"SROID", "Text of note"
"SRO17", "sums as stated on MS, possible scribal confusion with below entry, SRO4i"
"SRO18", "sums as stated on MS, possible scribal confusion with above entry, SRO4h"
"SRO82", "Arber: The dates of this and the next four entries i.e. SRO40b; SRO40c; SRO40d; SRO40e; SRO40f are between the 4th March and the 4th May 1560 inclusive."
"SRO82", "i.e. SRO40b; SRO40c; SRO40d; SRO40e; SRO40f"
"SRO83", "Arber: The dates of this and the next four entries i.e. SRO40b; SRO40c; SRO40d; SRO40e; SRO40f are between the 4th March and the 4th May 1560 inclusive."
"SRO83", "i.e. SRO40b; SRO40c; SRO40d; SRO40e; SRO40f"
"SRO84", "Arber: The dates of this and the next four entries i.e. SRO40b; SRO40c; SRO40d; SRO40e; SRO40f are between the 4th March and the 4th May 1560 inclusive."
"SRO84", "i.e. SRO40b; SRO40c; SRO40d; SRO40e; SRO40f"
"SRO85", "Arber: The dates of this and the next four entries i.e. SRO40b; SRO40c; SRO40d; SRO40e; SRO40f are between the 4th March and the 4th May 1560 inclusive."
"SRO85", "i.e. SRO40b; SRO40c; SRO40d; SRO40e; SRO40f"
"SRO86", "Arber: The dates of this and the next four entries i.e. SRO40b; SRO40c; SRO40d; SRO40e; SRO40f are between the 4th March and the 4th May 1560 inclusive."
"SRO86", "i.e. SRO40b; SRO40c; SRO40d; SRO40e; SRO40f"
"SRO114", "Arber: The dates of this and the next five entries i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y are between the 26th September and the 4th November 1560."
"SRO114", "i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y"
"SRO115", "Arber: The dates of this and the next five entries i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y are between the 26th September and the 4th November 1560."
"SRO115", "i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y"
"SRO116", "Arber: The dates of this and the next five entries i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y are between the 26th September and the 4th November 1560."
"SRO116", "i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y"
"SRO117", "Arber: The dates of this and the next five entries i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y are between the 26th September and the 4th November 1560."
"SRO117", "i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y"
"SRO118", "Arber: The dates of this and the next five entries i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y are between the 26th September and the 4th November 1560."
"SRO118", "i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y"
"SRO119", "Arber: The dates of this and the next five entries i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y are between the 26th September and the 4th November 1560."
"SRO119", "i.e. SRO42t; SRO42u; SRO42v; SRO42w; SRO42x; SRO42y"
"SRO164", "Arber: The dates of this and the remaining seven similar entries are between the 24th June and the 8th July 1561; when this annual account closes. i.e. SRO54f; SRO54g; SRO54h; SRO54i; SRO54j; SRO54k; SRO54l; SRO54m"
"SRO164", "i.e. SRO54f; SRO54g; SRO54h; SRO54i; SRO54j; SRO54k; SRO54l; SRO54m"
"SRO165", "Arber: The dates of this and the remaining seven similar entries are between the 24th June and the 8th July 1561; when this annual account closes. i.e. SRO54f; SRO54g; SRO54h; SRO54i; SRO54j; SRO54k; SRO54l; SRO54m"
